Sub Standardize ID,Sub Name,Sub Country,Sub State,Parent Standardized ID,Parent Name,tap_industry, 3 Year Stock Spend ,Propoensity to Buy, Estimated Avg. Stock , Est. Low Spend , Est. High Spend , Sales Estimated ASV ,Country,Named,DME Rep,NA Stock ARR,How Many Past Opps,Most Recent Opp
15567,Synchrony Financial,IN,TG,15567,Synchrony Financial,Financial Services, $-   ,*," $50,682.40 "," $22,222.97 "," $118,275.53 ",,US,Named,Julie Straus Gelbs,$0,0,GREEN
176,National Geographic Society (NGS),US,DC,266115,21st Century Fox,Non-profit, $-   ,*****," $57,992.76 "," $28,921.13 "," $118,213.19 ",,US,Named,Zach Fisher,$0,0,GREEN
279318,Fox Networks,US,CA,266115,21st Century Fox,Media & Entertainment, $-   ,*," $59,873.94 "," $31,175.58 "," $117,015.93 ",,US,Named,Zach Fisher,$0,0,GREEN
24266,American Media Incorporated (AMI),US,FL,24266,American Media Incorporated (AMI),Media & Entertainment, $-   ,*," $56,153.85 "," $27,566.62 "," $116,333.05 ",,US,Named,John Collins,$0,0,GREEN
189,BabyCenter,US,NJ,9508,Johnson & Johnson (J&J),Professional & Technical Services, $-   ,*," $53,413.82 "," $26,222.82 "," $110,054.18 ",,US,Named,Grant Hamlen,$0,0,GREEN
16974,Dow Jones,US,NY,2740,News Corporation,Media & Entertainment, $-   ,*," $55,954.67 "," $29,027.52 "," $109,841.54 ",,US,Named,PH USER AMERICAS 91700552,$0,0,GREEN
267727,Fox Television Stations,TR,?stanbul,266115,21st Century Fox,Media & Entertainment, $-   ,****," $52,505.99 "," $25,577.42 "," $109,597.26 ",,US,Named,Zach Fisher,$0,0,GREEN
635628,Extreme Ventures,US,CA,28116,TEN: The Enthusiast Network (TEN),Media & Entertainment," $58,176.00 ",*****," $59,524.87 "," $34,016.91 "," $104,159.54 ",,US,Non-Named,Zach Fisher,$0,0,GREEN
8710,Marvel Entertainment,US,NY,21401,Disney,Media & Entertainment, $-   ,*," $48,772.27 "," $23,246.22 "," $103,997.30 ",,US,Named,Zach Fisher,$0,0,GREEN
11674,Procter & Gamble (P&G),US,KS,11674,Procter & Gamble (P&G),Manufacturing - Consumer Goods, $-   ,*****," $52,454.70 "," $27,827.20 "," $100,058.31 ",,US,Named,Bill Partridge,$0,1,DR1955393
7894,Thirty Mile Zone (TMZ),US,CA,24749,Time Warner,Media & Entertainment, $-   ,*," $45,221.99 "," $20,845.99 "," $99,920.95 ",,US,Named,John Collins,$0,0,GREEN
1959,Lowe's Home Centers,US,NC,11773,Lowe's Companies,Retail, $-   ,*," $46,901.70 "," $22,481.64 "," $98,957.95 ",,US,Named,Michael DeCosta,$0,0,GREEN
22485,AbbVie,US,3,22485,AbbVie,Pharmaceuticals & Biotech, $469.00 ,*****," $50,361.21 "," $26,126.74 "," $98,431.73 ",,US,Named,Bill Partridge,$0,0,GREEN
12949,Discover Financial Services (DFS),US,IL,12949,Discover Financial Services (DFS),Financial Services, $-   ,***," $48,100.05 "," $24,447.16 "," $96,095.95 ",,US,Named,Bill Partridge,"$50,000",3,DR1959473
20116,Travelocity,US,CA,8797,Expedia,"Travel, Leisure & Hospitality", $-   ,*," $48,354.55 "," $24,681.82 "," $96,040.47 ",,US,Named,PH USER AMERICAS 91700521,$0,0,GREEN
